,A,CS2,C_WP,DER,DP,E,G2,GS2,INN,PB,PO,SB2,SBPCT,TC,team,year
216,1508,29,63,.686,136,76,162,1458,13164.0,14,4388,128,.815,5972,Detroit Tigers,2012
217,1723,38,50,.680,178,81,162,1458,13053.0,6,4351,73,.658,6155,Minnesota Twins,2012
218,1516,43,47,.696,142,80,162,1458,13086.0,15,4362,133,.756,5958,Boston Red Sox,2012
219,1698,43,51,.698,140,83,162,1458,13095.0,7,4365,107,.713,6146,San Diego Padres,2012
220,1680,32,50,.701,141,85,162,1458,13053.0,6,4351,79,.712,6116,Atlanta Braves,2012
221,1549,34,68,.695,146,86,163,1467,13170.0,7,4390,73,.682,6025,Texas Rangers,2012
222,1520,36,60,.699,136,85,162,1458,13035.0,6,4345,77,.681,5950,Kansas City Royals,2012
223,1687,37,53,.698,144,88,162,1458,13140.0,16,4380,90,.709,6155,Miami Marlins,2012
224,1645,30,74,.684,149,88,162,1458,13185.0,11,4395,89,.748,6128,Seattle Mariners,2012
225,1855,33,62,.675,162,90,162,1458,12924.0,13,4308,89,.730,6253,Colorado Rockies,2012
226,1642,29,47,.692,127,93,162,1458,13290.0,11,4430,87,.750,6165,New York Mets,2012
227,1614,35,48,.680,141,97,162,1458,12927.0,5,4309,114,.765,6020,Philadelphia Phillies,2012
228,1924,43,81,.700,154,106,162,1458,13236.0,7,4412,95,.688,6442,Pittsburgh Pirates,2012
229,1602,42,59,.706,129,100,162,1458,13032.0,13,4344,107,.718,6046,Chicago Cubs,2012
230,1503,31,71,.685,135,98,162,1458,12972.0,10,4324,84,.730,5925,Cleveland Indians,2012
231,1377,27,56,.709,112,97,162,1458,13068.0,15,4356,87,.763,5830,Oakland Athletics,2012
232,1723,40,66,.692,160,109,162,1458,13053.0,10,4351,63,.612,6183,Los Angeles Dodgers,2012
233,1549,20,43,.691,146,107,162,1458,13011.0,5,4337,95,.826,5993,Washington Nationals,2012
234,1537,41,60,.691,128,107,162,1458,13026.0,8,4342,95,.699,5986,San Francisco Giants,2012
235,1605,29,54,.691,145,111,162,1458,13068.0,30,4356,87,.750,6072,Toronto Blue Jays,2012
236,1500,35,74,.686,135,112,162,1458,13119.0,7,4373,131,.789,5985,Los Angeles Angels,2012
237,1628,30,51,.698,153,114,162,1458,12984.0,10,4328,99,.767,6070,Milwaukee Brewers,2012
238,1555,35,62,.689,155,121,162,1458,13095.0,21,4365,102,.745,6041,Chicago White Sox,2012
239,1635,37,61,.681,168,125,162,1458,12960.0,14,4320,98,.726,6080,Houston Astros,2012
240,1578,41,66,.703,154,70,162,1458,13011.0,9,4337,104,.717,5985,Chicago White Sox,2011
241,1570,39,61,.708,155,72,162,1458,13110.0,20,4370,128,.766,6012,Seattle Mariners,2011
242,1471,28,53,.692,135,75,162,1458,13008.0,17,4336,90,.763,5882,New York Yankees,2011
243,1654,39,54,.705,147,86,162,1458,13008.0,10,4336,98,.715,6076,Atlanta Braves,2011
244,1496,27,53,.695,136,85,162,1458,12978.0,13,4326,106,.797,5907,Texas Rangers,2011
245,1602,43,34,.700,113,89,162,1458,13077.0,7,4359,78,.645,6050,Cincinnati Reds,2011
246,1676,37,52,.685,146,90,162,1458,12903.0,9,4301,48,.565,6067,Arizona Diamondbacks,2011
247,1632,22,62,.704,134,94,162,1458,13215.0,15,4405,111,.835,6131,Washington Nationals,2011
248,1665,37,67,.687,157,96,162,1458,12978.0,13,4326,140,.791,6087,Cleveland Indians,2011
249,1669,43,46,.703,138,98,162,1458,13047.0,11,4349,92,.681,6116,Los Angeles Dodgers,2011
250,1737,43,56,.696,167,101,162,1458,12993.0,15,4331,87,.669,6169,Toronto Blue Jays,2011
251,1578,41,38,.708,141,98,162,1458,12900.0,11,4300,127,.756,5976,Los Angeles Angels,2011
252,1687,31,42,.692,159,101,162,1458,12987.0,11,4329,127,.804,6117,Boston Red Sox,2011
253,1532,39,57,.675,133,99,162,1458,13083.0,5,4361,123,.759,5992,Milwaukee Brewers,2011
254,1560,56,30,.685,118,101,162,1458,13062.0,9,4354,99,.639,6015,Philadelphia Phillies,2011
255,1481,45,46,.680,127,99,162,1458,12876.0,14,4292,131,.744,5872,Detroit Tigers,2011
256,1649,28,36,.686,154,103,162,1458,12966.0,14,4322,88,.759,6074,Miami Marlins,2011
257,1680,36,34,.701,151,106,162,1458,13347.0,10,4449,63,.636,6235,Baltimore Orioles,2011
258,1502,30,40,.696,135,101,162,1458,12906.0,32,4302,97,.764,5905,New York Mets,2011
259,1754,43,46,.685,149,107,162,1458,13164.0,9,4388,56,.566,6249,St. Louis Cardinals,2011
